2012-07-23 11:28:42,719 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@ng7?01F0VPJPOffw`IVmN0000,0*72 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:46 CEST 2012]
2012-07-23 11:28:42,720 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@ng6p00B0V`OnOg20Av7MN00n0,0*22 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,745 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13A:Bb00010VaEPOg7d955eN0L0i,0*3A tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,746 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@nghh0010VT1:OgKnURESP05BL,0*38 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,746 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,1025boOP000VSjNOgL1q;wwN0@KD,0*17 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,746 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13B2PD700PPUuHDOdC`nRU;L2HKE,0*23 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,747 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,139LH9P000PVcblOfd9008EH0HKI,0*09 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,747 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@oP>hP@E0SkqTOglcViVUN00ui,0*24 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,751 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,10Dpch?P000T36nOhk>@0?wJ08L1,0*17 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,751 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13AIOD0000PVQObOg`i=SbIN08KM,0*63 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,752 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13ktpn002APPcdhOh7o7l6?L0@KO,0*35 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,778 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13@oWgo01>PPq50OvnFrGp;N0HK`,0*74 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,778 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@o7A@P000VSFTOgTFJAOwP2D0l,0*23 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,779 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@oGaPOh?0T2W6Oh?5@Ti9P00s0,0*33 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:47 CEST 2012]
2012-07-23 11:28:42,780 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13B1q@00000VPP8Ogb=`MDKP05BL,0*2F tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:48 CEST 2012]
